Manufacturer,Model Number,Description,Safety Certification,Nameplate Pmax,PTC,Notes,Design Qualification Certification (Optional Submission),Performance Evaluation (Optional Submission),Family,Technology,A_c,N_s,N_p,BIPV,Nameplate Isc,Nameplate Voc,Nameplate Ipmax,Nameplate Vpmax,Average NOCT,γPmax,αIsc,βVoc,αIpmax,βVpmax,"IPmax, low","VPmax, low","IPmax, NOCT","VPmax, NOCT",Mounting,Type,Short Side,Long Side,Geometric Multiplier,P2/Pref,CEC Listing Date,Last Update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STC_Efficiency
Miasole,FLEX-03 300W,"300 W, 144 cell CIGS thin film module, 1000V max system Vdc",UL 61730,300,259.7,,No Information Submitted,No Information Submitted,Thin Film,CIGS,2.21,72,2,Y,9.21,48.0,7.89,38.1,49.1,-0.519,-0.007,-0.355,,,1.62,33.11,6.30,34.1,,,,,,,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.57%
Miasole,FLEX-03 310W,"310 W, 144 cell CIGS thin film module, 1000V max system Vdc",UL 61730,310,268.6,,No Information Submitted,No Information Submitted,Thin Film,CIGS,2.21,72,2,Y,9.14,48.7,7.96,39.0,49.1,-0.519,-0.007,-0.355,,,1.63,33.89,6.36,34.9,,,,,,,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.03%
Miasole,FLEX-03 320W,"320 W, 144 cell CIGS thin film module, 1000V max system Vdc",UL 61730,320,277.6,,No Information Submitted,No Information Submitted,Thin Film,CIGS,2.21,72,2,Y,9.08,49.5,8.02,40.0,49.1,-0.519,-0.007,-0.355,,,1.64,34.76,6.41,35.8,,,,,,,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.48%
Miasole,FLEX-02 340W,"340 W, 168 cell CIGS thin film module, 600V max system Vdc",UL 1703,340,287.0,,No Information Submitted,No Information Submitted,Thin Film,CIGS,2.57,168,,Y,13.54,37.5,11.61,29.3,61.1,-0.402,-0.011,-0.283,-0.065,-0.345,2.22,29.45,8.68,25.8,,,,,,,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.23%
Miasole,FLEX-02 350W,"350 W, 168 cell CIGS thin film module, 600V max system Vdc",UL 1703,350,295.8,,No Information Submitted,No Information Submitted,Thin Film,CIGS,2.570,168,1,Y,13.55,37.90,11.72,29.90,61.1,-0.401500,-0.010800,-0.283200,-0.064500,-0.345100,2.24,30.05,8.76,26.31,BIPV,Flat Plate,0.990,2.598,1.0,0.192320000,,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.62%
Miasole,FLEX-02 360W,"360 W, 168 cell CIGS thin film module, 600V max system Vdc",UL 1703,360,304.5,,No Information Submitted,No Information Submitted,Thin Film,CIGS,2.57,168,,Y,13.56,38.3,11.83,30.4,61.1,-0.402,-0.011,-0.283,-0.065,-0.345,2.26,30.55,8.84,26.7,,,,,,,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.01%
Miasole,FLEX-03 500W,"500 W, 224 cell CIGS thin film module, 1000V max system Vdc",UL 61730,500,439.6,,No Information Submitted,No Information Submitted,Thin Film,CIGS,3.00,112,2,Y,9.07,77.2,8.03,62.4,62.9,-0.312,0.010,-0.248,,,0.87,54.42,6.13,55.7,,,,,,,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67%
ONYX SOLAR ENERGY S.L.,ONYX G/G M06666,"291 W, 66 cell double glass monocrystalline module, 1000V max system rating",UL 1703,291,256.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.99,66,,Y,8.93,42,8.39,35,49.3,-0.46,0.02,-0.33,-0.02,-0.44,1.186,31.981,7.337,31.238,,,,,,,2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.62%
"Phono Solar Technology Co.,Ltd.",PS430M5GF-24/TH,"430 W, 144 half-cut cell bifacial monocrystalline module, 1000V max system Vdc",UL 61730,430,402.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,72,2,Y,11.12,49.4,10.40,41.4,44.2,-0.350,0.046,-0.266,,,2.06,39.83,8.19,38.7,,,,,,,2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.91%
"Phono Solar Technology Co.,Ltd.",PS430M5GFH-24/TH,"430 W, 144 half-cut cell bifacial monocrystalline module, 1500V max system Vdc",UL 61730,430,402.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,72,2,Y,11.12,49.4,10.40,41.4,44.2,-0.350,0.046,-0.266,,,2.06,39.83,8.19,38.7,,,,,,,2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.91%
